Airport,Closest_Station
ROA,USW00013741
ROC,USW00014768
ROP,CQC00914801
ROW,USW00023009
RST,USW00014925
RSW,USW00012894
SAF,USW00023049
SAN,USW00023188
SAT,USW00012921
SAV,USW00003822
SBA,USW00023190
SBN,USW00014848
SBP,USW00093206
SBY,USW00093720
SCC,USW00027406
SCE,US1PACN0019
SCK,USW00023237
SDF,USW00093821
SEA,USW00024233
SFB,USW00012854
SFO,USW00023234
SGF,USW00013995
SGU,USW00093198
SHD,US1VAAG0007
SHR,USW00024029
SHV,USW00013957
SIT,USW00025333
SJC,USC00047821
SJT,USC00417944
SJU,RQW00011641
SLC,USW00024127
SLN,USW00013922
SMF,USW00093225
SMX,USW00023273
SNA,USW00093184
SPI,USW00093822
SPN,CQC00914855
SPS,USW00013966
SRQ,USW00012871
STC,USW00014926
STL,USW00013994
STS,USW00023213
STT,VQW00011640
STX,VQW00011624
SUN,US1IDBN0005
SUX,USC00137702
SWF,USW00014714
SWO,USW00003965
SYR,USW00014771
TBN,USW00003938
TLH,USC00088756
TOL,USW00094830
TPA,USW00012842
TRI,USW00013877
TTN,USW00014792
TUL,USW00013968
TUS,USW00023160
TVC,USC00208252
TWF,USW00094178
TXK,USW00013977
TYR,USW00013972
TYS,USW00013891
UIN,USW00093989
USA,US1NCCB0042
VCT,USR0000TVIC
VEL,USW00094030
VLD,USW00093845
VPS,USW00013858
WRG,USC00509919
WYS,US1MTGN0024
XNA,USW00053922
XWA,USC00329426
YAK,USW00025339
YKM,USW00024243
YNG,USW00014852
YUM,USW00023195
